code,name,roe1,roe2,roe3,roe4,roe5,asset_ratio,pe,pb,dividend_yield,收益率
SZ300501,海顺新材,10.36,13.86,10.08,10.58,11.24,0.29970586694695706,31.107,2.148,0.685,6.11881818690327
SZ002145,中核钛白,19.05,11.73,12.97,12.72,13.98,0.37799175999512297,33.508,2.293,0.583,6.089322936254028
SZ300127,银河磁体,14.63,11.66,11.97,12.96,16.87,0.0680698545809112,27.539,3.764,2.82,5.873409175351321
SZ300519,新光药业,13.8,12.26,12.16,12.12,15.71,0.09243498709907409,23.744,3.27,3.494,5.840520269541777
SH600183,生益科技,24.34,18.28,19.67,16.39,20.12,0.3915058483967637,24.669,3.153,3.339,5.592356397786695
SZ000030,富奥股份,11.44,12.94,13.77,14.53,15.22,0.4272183218737048,17.686,1.237,6.29,5.5035027264503
SZ002511,中顺洁柔,11.82,19.86,16.42,12.67,12.28,0.347784819230231,42.24,3.026,0.835,5.472115757575756
SH601636,旗滨集团,37.87,20.7,17.13,16.54,17.49,0.35528600887271833,15.114,2.271,7.822,5.08404189043271
SZ002626,金达威,19.69,28.32,15.24,25.61,20.26,0.31136448613033196,30.259,3.471,2.586,5.080961315509436
SH603866,桃李面包,16.01,21.98,19.56,19.71,22.36,0.17979834010181292,32.06,4.512,2.605,4.924851977542106
SH601515,东风股份,16.54,12.97,10.26,18.34,17.5,0.2275203396602774,17.045,1.492,8.408,4.616564088002346
SH603203,快克智能,22.74,16.4,19.0,19.72,19.62,0.2232325231306442,30.64,6.167,3.019,4.52811159530026
SH603808,歌力思,12.3,21.74,15.05,16.06,15.82,0.3495847781187013,27.961,1.428,2.346,4.103025479489288
SH603025,大豪科技,19.1,12.23,14.45,20.24,24.94,0.1326299767457424,48.733,9.914,1.931,3.130570401534893
SZ002117,东港股份,12.12,10.25,16.55,16.6,15.95,0.28454378218875737,31.989,3.373,3.188,2.979125585795117
SH600750,江中药业,12.52,12.74,13.63,15.25,15.11,0.23594630884614776,18.792,2.558,6.894,2.8713233937845875
SZ000895,双汇发展,21.8,32.93,37.37,34.06,31.4,0.3186725137853863,16.031,4.326,7.487,2.083454143721543
SH603160,汇顶科技,10.18,23.06,43.93,19.72,28.79,0.18954533518828265,171.124,2.928,0.406,0.9282719476403075
SZ300418,昆仑万维,16.12,68.86,25.83,15.08,16.39,0.25744440943306446,313.123,2.281,0.289,0.3582587267399713
SZ002653,海思科,12.3,24.23,23.04,16.41,11.2,0.4165761879929837,154.499,7.395,0.747,0.009373747176357305
SZ002293,罗莱生活,16.47,14.11,13.45,14.98,14.79,0.34756606052878525,16.849,2.567,9.724,-0.002182461392369106
SZ002032,苏泊尔,26.81,26.97,30.54,28.84,26.87,0.4490210541823559,22.546,6.246,5.669,-2.03621198456489
SZ000717,中南股份,18.78,21.26,25.72,67.51,146.69,0.46811790218072663,-17.767,0.736,6.711,-2.370807397534755
SH603058,永吉股份,11.78,14.46,14.49,12.39,11.46,0.2645915955889377,-350.157,3.643,2.921,-8.760593453425177
SZ002027,分众传媒,33.13,26.16,13.76,46.92,67.65,0.26892781666307347,24.203,4.899,7.563,-9.246844598231622
